index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes
1021,ts20883,"Nicky, Ricky, Dicky & Dawn",SHOW,2014,TV-G,23,"['comedy', 'family']",GB,4,tt3596176,5.1,2551
1022,tm167944,Berserk: The Golden Age Arc III - The Advent,MOVIE,2013,NC-17,110,"['fantasy', 'action', 'drama', 'horror', 'romance', 'animation']",US,,tt2358913,7.8,9942
1023,tm149038,Bill Burr: I'm Sorry You Feel That Way,MOVIE,2014,,80,"['comedy', 'documentation']",US,,tt3823690,8.3,7954
1024,ts33590,The Haunted Hathaways,SHOW,2013,TV-G,24,"['comedy', 'family', 'fantasy']",US,2,tt2535732,5,2471
1025,tm159362,A Haunted House 2,MOVIE,2014,R,86,"['comedy', 'horror', 'fantasy']",US,,tt2828996,4.6,21514
1026,ts21368,Black Money Love,SHOW,2014,TV-MA,90,"['action', 'drama', 'romance', 'crime']",US,2,tt3565486,7.4,5975
1027,ts2161,Angry Birds Toons,SHOW,2013,TV-Y,2,"['comedy', 'family', 'fantasy', 'animation', 'action', 'european']",US,4,tt3012598,6.2,800
1028,tm172710,We Steal Secrets: The Story of WikiLeaks,MOVIE,2013,R,162,['documentation'],US,,tt1824254,6.9,7873
1029,tm157085,Effie Gray,MOVIE,2014,PG-13,85,"['drama', 'romance']",GB,,tt1605798,6,5482
1030,tm174289,Free Birds,MOVIE,2013,PG,91,"['comedy', 'family', 'scifi', 'animation']",GB,,tt1621039,5.8,23917
1031,tm187390,The Square,MOVIE,2013,,88,"['drama', 'history', 'documentation']",US,,tt2486682,8.1,8949
1032,tm171929,The Short Game,MOVIE,2013,PG,100,"['documentation', 'sport']",GB,,tt2466830,7.3,1518
1033,tm147913,PK,MOVIE,2014,PG-13,153,"['comedy', 'drama', 'romance', 'fantasy', 'scifi']",US,,tt2338151,8.2,178012
1034,tm170919,Underdogs,MOVIE,2013,PG,106,"['romance', 'drama', 'documentation', 'sport', 'animation', 'family']",US,,tt4382260,6.5,9535
1035,tm180643,Jinxed,MOVIE,2013,G,70,"['fantasy', 'comedy', 'family']",US,,tt2934844,6.4,1444
1036,ts34066,Mako Mermaids: An H2O Adventure,SHOW,2013,TV-G,25,"['scifi', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",US,4,tt2548214,6.7,3924
1037,tm152843,Swearnet: The Movie,MOVIE,2014,R,112,['comedy'],US,,tt2380564,6.1,2652
1038,tm177223,Company of Heroes,MOVIE,2013,R,100,['drama'],US,,,,
1039,tm152273,Tiger & Bunny: The Rising,MOVIE,2014,,101,"['scifi', 'animation', 'action']",US,,tt4625302,6.8,265
1040,tm2269,Selfie,MOVIE,2014,,123,"['comedy', 'documentation', 'drama', 'european']",GB,,tt3102208,6,1671
1041,tm138431,Virunga,MOVIE,2014,,90,"['war', 'documentation']",GB,,tt3455224,8.2,11403
1042,tm152904,Tom Segura: Completely Normal,MOVIE,2014,,74,"['comedy', 'documentation']",US,,tt3500822,7.7,2570
1043,tm35895,Buddies,MOVIE,2013,,94,"['drama', 'comedy', 'documentation', 'european']",GB,,tt1179259,6.6,1076
1044,tm176481,Chennai Express,MOVIE,2013,PG-13,141,"['romance', 'comedy', 'drama', 'action']",US,,tt2112124,6.1,53293
1045,ts53641,Lalaloopsy,SHOW,2013,TV-Y,23,['animation'],US,3,tt2827502,6.4,104
1046,ts37187,Senora Acero,SHOW,2014,TV-MA,43,"['crime', 'drama', 'romance']",US,5,tt3904068,6.8,375
1047,tm199408,Monty Python: The Meaning of Live,MOVIE,2014,,96,"['comedy', 'documentation']",US,,tt4256544,7.6,574
1048,ts58137,Pac-Man and the Ghostly Adventures,SHOW,2013,TV-Y7,22,"['action', 'animation', 'comedy', 'drama', 'family', 'fantasy', 'scifi']",US,3,tt2392179,4.8,635
1049,ts75104,Zbrodnia,SHOW,2014,TV-MA,45,"['crime', 'action']",US,2,tt4173216,6.2,660
1050,tm144021,LEGO DC Comics Super Heroes: Batman Be-Leaguered,MOVIE,2014,,22,"['comedy', 'family', 'scifi', 'animation', 'action']",US,,tt4189294,6.5,1305
1051,ts521,Black Ink Crew New York,SHOW,2013,TV-14,41,['reality'],GB,9,tt2738096,4.6,459
1052,ts33840,Nagi-Asu: A Lull in the Sea,SHOW,2013,TV-14,23,"['scifi', 'animation', 'drama', 'fantasy', 'romance']",GB,2,tt3104236,7.3,1152
1053,tm168685,The Berlin File,MOVIE,2013,,120,"['thriller', 'action']",US,,tt2357377,6.6,7103
1054,tm182275,Omar,MOVIE,2013,,96,"['thriller', 'war', 'crime', 'drama', 'romance']",GB,,tt2852406,7.5,14230
